country,provinceState,Confirmed,Recovered,Deaths,Active,date
India,Dadra and Nagar Haveli and Daman and Diu,3394,3387,2,5,2021-01-26 05:22:02
India,Delhi,634072,621565,10813,1694,2021-01-26 05:22:02
India,Goa,52977,51448,762,767,2021-01-26 05:22:02
India,Gujarat,259487,250763,4379,4345,2021-01-26 05:22:02
India,Haryana,267321,262929,3014,1378,2021-01-26 05:22:02
India,Himachal Pradesh,57245,55864,973,408,2021-01-26 05:22:02
India,Jammu and Kashmir,124083,121070,1929,1084,2021-01-26 05:22:02
India,Jharkhand,118360,116524,1064,772,2021-01-26 05:22:02
India,Karnataka,936426,917361,12200,6865,2021-01-26 05:22:02
India,Kerala,893639,819156,3624,70859,2021-01-26 05:22:02
India,Ladakh,9687,9504,129,54,2021-01-26 05:22:02
India,Lakshadweep,67,0,0,67,2021-01-26 05:22:02
India,Madhya Pradesh,253857,246558,3791,3508,2021-01-26 05:22:02
India,Maharashtra,2010948,1915344,50815,44789,2021-01-26 05:22:02
India,Manipur,28997,28442,369,186,2021-01-26 05:22:02
India,Meghalaya,13734,13484,146,104,2021-01-26 05:22:02
India,Mizoram,4356,4298,9,49,2021-01-26 05:22:02
India,Nagaland,12079,11895,88,96,2021-01-26 05:22:02
India,Odisha,334430,331284,1906,1240,2021-01-26 05:22:02
India,Puducherry,38878,37953,645,280,2021-01-26 05:22:02
India,Punjab,172089,164377,5560,2152,2021-01-26 05:22:02
India,Rajasthan,316845,311117,2760,2968,2021-01-26 05:22:02
India,Sikkim,6072,5824,133,115,2021-01-26 05:22:02
India,Tamil Nadu,835280,818147,12320,4813,2021-01-26 05:22:02
India,Telangana,293590,288926,1592,3072,2021-01-26 05:22:02
India,Tripura,33346,32927,391,28,2021-01-26 05:22:02
India,Unknown,0,0,0,0,2021-01-26 05:22:02
India,Uttar Pradesh,598907,583470,8624,6813,2021-01-26 05:22:02
India,Uttarakhand,95702,92544,1635,1523,2021-01-26 05:22:02
India,West Bengal,568355,552082,10122,6151,2021-01-26 05:22:02
Indonesia,,999256,809488,28132,161636,2021-01-26 05:22:02
Iran,,1379286,1171070,57481,150735,2021-01-26 05:22:02
Iraq,,614576,583127,13000,18449,2021-01-26 05:22:02
Ireland,,188923,23364,2977,162582,2021-01-26 05:22:02
Israel,,601069,534485,4498,74357,2021-01-26 05:22:02
Italy,Abruzzo,40955,29341,1418,10196,2021-01-26 05:22:02
Italy,Basilicata,12913,5670,315,6928,2021-01-26 05:22:02
Italy,Calabria,31279,20604,572,10103,2021-01-26 05:22:02
Italy,Campania,214776,148085,3618,63073,2021-01-26 05:22:02
Italy,Emilia-Romagna,211606,151122,9195,51289,2021-01-26 05:22:02
Italy,Friuli Venezia Giulia,64519,50680,2266,11573,2021-01-26 05:22:02
Italy,Lazio,198567,126184,4722,67661,2021-01-26 05:22:02
Italy,Liguria,67857,60078,3241,4538,2021-01-26 05:22:02
Italy,Lombardia,526758,450069,26712,49977,2021-01-26 05:22:02
Italy,Marche,53103,42556,1883,8664,2021-01-26 05:22:02
Italy,Molise,7939,6622,254,1063,2021-01-26 05:22:02
Italy,P.A. Bolzano,36801,22381,845,13575,2021-01-26 05:22:02
Italy,P.A. Trento,26249,23047,1134,2068,2021-01-26 05:22:02
Italy,Piemonte,218277,196455,8604,13218,2021-01-26 05:22:02
Italy,Puglia,116511,59097,3032,54382,2021-01-26 05:22:02
Italy,Sardegna,37258,19303,952,17003,2021-01-26 05:22:02
Italy,Sicilia,130637,79376,3260,48001,2021-01-26 05:22:02
Italy,Toscana,131281,118712,4109,8460,2021-01-26 05:22:02
Italy,Umbria,34135,28357,746,5032,2021-01-26 05:22:02
Italy,Valle d'Aosta,7745,7037,401,307,2021-01-26 05:22:02
Italy,Veneto,306206,253085,8602,44519,2021-01-26 05:22:02
Jamaica,,15012,11889,338,2785,2021-01-26 05:22:02
Japan,Aichi,22949,18774,365,3810,2021-01-26 05:22:02
Japan,Akita,250,178,1,71,2021-01-26 05:22:02
Japan,Aomori,681,599,11,71,2021-01-26 05:22:02
Japan,Chiba,20546,13277,213,7056,2021-01-26 05:22:02
Japan,Ehime,946,710,17,219,2021-01-26 05:22:02
Japan,Fukui,484,387,14,83,2021-01-26 05:22:02
Japan,Fukuoka,15219,10666,168,4385,2021-01-26 05:22:02
Japan,Fukushima,1653,1254,38,361,2021-01-26 05:22:02
Japan,Gifu,3883,3246,63,574,2021-01-26 05:22:02
Japan,Gunma,3636,3021,66,549,2021-01-26 05:22:02
Japan,Hiroshima,4650,4009,86,555,2021-01-26 05:22:02
Japan,Hokkaido,16749,14511,575,1663,2021-01-26 05:22:02
Japan,Hyogo,15516,12534,361,2621,2021-01-26 05:22:02
Japan,Ibaraki,4410,3385,54,971,2021-01-26 05:22:02
Japan,Ishikawa,1425,1188,58,179,2021-01-26 05:22:02
Japan,Iwate,488,410,25,53,2021-01-26 05:22:02
Japan,Kagawa,588,397,13,178,2021-01-26 05:22:02
Japan,Kagoshima,1543,1272,18,253,2021-01-26 05:22:02
Japan,Kanagawa,38429,32106,411,5912,2021-01-26 05:22:02
Japan,Kochi,825,744,13,68,2021-01-26 05:22:02
Japan,Kumamoto,3242,2243,58,941,2021-01-26 05:22:02
Japan,Kyoto,7850,5850,104,1896,2021-01-26 05:22:02
Japan,Mie,2023,1558,28,437,2021-01-26 05:22:02
Japan,Miyagi,3316,2666,22,628,2021-01-26 05:22:02
Japan,Miyazaki,1731,1339,16,376,2021-01-26 05:22:02
Japan,Nagano,2193,1834,27,332,2021-01-26 05:22:02
Japan,Nagasaki,1419,981,21,417,2021-01-26 05:22:02
Japan,Nara,2831,2400,37,394,2021-01-26 05:22:02
Japan,Niigata,850,692,7,151,2021-01-26 05:22:02
Japan,Oita,1048,853,16,179,2021-01-26 05:22:02
Japan,Okayama,2249,1750,18,481,2021-01-26 05:22:02
Japan,Okinawa,7073,6032,91,950,2021-01-26 05:22:02
Japan,Osaka,41728,34070,843,6815,2021-01-26 05:22:02
Japan,Port Quarantine,2134,1991,1,142,2021-01-26 05:22:02
Japan,Saga,921,684,6,231,2021-01-26 05:22:02
Japan,Saitama,23628,17483,311,5834,2021-01-26 05:22:02
Japan,Shiga,1995,1514,26,455,2021-01-26 05:22:02
Japan,Shimane,251,230,0,21,2021-01-26 05:22:02
Japan,Shizuoka,4294,3302,69,923,2021-01-26 05:22:02
Japan,Tochigi,3575,2556,39,980,2021-01-26 05:22:02
Japan,Tokushima,368,233,13,122,2021-01-26 05:22:02
Japan,Tokyo,94576,73890,793,19893,2021-01-26 05:22:02
Japan,Tottori,198,149,2,47,2021-01-26 05:22:02
Japan,Toyama,851,723,27,101,2021-01-26 05:22:02
Japan,Unknown,8,8,0,0,2021-01-26 05:22:02
Japan,Wakayama,1001,804,13,184,2021-01-26 05:22:02
Japan,Yamagata,463,412,13,38,2021-01-26 05:22:02
Japan,Yamaguchi,1110,718,9,383,2021-01-26 05:22:02
Japan,Yamanashi,888,753,13,122,2021-01-26 05:22:02
